"","X","workerid","item","slide_number","language","pref1","response1","pref2","response2","pref3","response3","pref4","response4","pref5","response5","pref6","response6","target","obj2","obj3","utterance","itemCode","ambiguous","uttFeat","q1Feat","q2Feat","targetOC27","obj2OC27","obj3OC27","DataPost_1","DataPost_2","DataPost_3","DataPost_4","DataPost_5","DataPost_6","DataPost_7","DataPost_8","DataPost_9","Post1_1","Post1_2","Post1_3","Post1_4","Post1_5","Post1_6","Post1_7","Post1_8","Post1_9","Post2_1","Post2_2","Post2_3","Post2_4","Post2_5","Post2_6","Post2_7","Post2_8","Post2_9","CCode"
"656",701,46,2243,16,"english","clouds",0.75,"circles",0.4,"squares",0.45,"solid things",0.6,"striped things",0.25,"polka-dotted things",0.3,111,121,131,"blue",323211,"True",3,1,2,1,4,7,0.46875,0.25,0.28125,0.52174,0.21739,0.26087,NA,NA,NA,1,NA,NA,0.60359,0.1982,0.1982,1,NA,NA,1,NA,NA,0.47165,0.26418,0.26418,1,NA,NA,323211
"657",702,46,524,17,"english","clouds",0.4,"circles",0.75,"squares",0.35,"blue things",0.8,"red things",0.4,"green things",0.35,211,231,223,"solid",112132,"False",2,1,3,2,8,23,0.26667,0.5,0.23333,NA,NA,NA,0.51613,0.25806,0.22581,NA,1,NA,0.58549,0.20725,0.20725,0.58549,NA,0.41451,NA,1,NA,0.49104,0.25448,0.25448,0.62485,NA,0.37515,113221
"658",703,46,502,18,"english","blue things",0.3,"red things",0.3,"green things",0.7,"clouds",0.45,"circles",0.75,"squares",0.4,213,223,333,"solid",112132,"False",2,3,1,20,23,27,0.28125,0.46875,0.25,NA,NA,NA,0.23077,0.23077,0.53846,NA,0.58549,0.41451,0.58549,0.20725,0.20725,NA,NA,1,NA,0.62485,0.37515,0.49104,0.25448,0.25448,NA,NA,1,113221
"659",704,46,738,19,"english","blue things",0.25,"red things",0.7,"green things",0.35,"solid things",0.7,"striped things",0.2,"polka-dotted things",0.25,112,113,332,"cloud",212122,"True",1,3,2,10,19,18,NA,NA,NA,0.6087,0.17391,0.21739,0.19231,0.53846,0.26923,0.58222,NA,0.41778,0.58222,NA,0.41778,NA,0.58222,0.41778,0.62021,NA,0.37979,0.62021,NA,0.37979,NA,0.62021,0.37979,212122
"660",705,46,578,20,"english","blue things",0.35,"red things",0.7,"green things",0.3,"solid things",0.65,"striped things",0.35,"polka-dotted things",0.7,132,112,212,"cloud",213212,"True",1,3,2,16,10,11,NA,NA,NA,0.38235,0.20588,0.41176,0.25926,0.51852,0.22222,0.59904,0.40096,NA,0.40096,NA,0.59904,NA,1,NA,0.64058,0.35942,NA,0.35942,NA,0.64058,NA,1,NA,213212
"661",706,47,1876,6,"English","clouds",0.3,"circles",0.3,"squares",1,"solid things",0.6,"striped things",0.35,"polka-dotted things",1,332,233,233,"red",123212,"False",3,1,2,18,26,26,0.1875,0.1875,0.625,0.30769,0.17949,0.51282,NA,NA,NA,NA,0.29876,0.70124,NA,NA,1,NA,0.70124,0.29876,NA,0.2888,0.7112,NA,NA,1,NA,0.7112,0.2888,123212
"662",707,47,414,7,"English","clouds",0.45,"circles",0.35,"squares",0.95,"blue things",0.15,"red things",0.95,"green things",0.15,322,123,121,"striped",321112,"True",2,1,3,15,22,4,0.25714,0.2,0.54286,NA,NA,NA,0.12,0.76,0.12,0.29507,NA,0.70493,NA,1,NA,0.14754,0.70493,0.14754,0.28441,NA,0.71559,NA,1,NA,0.17021,0.65958,0.17021,321211
"663",708,47,865,8,"English","solid things",0.75,"striped things",0.2,"polka-dotted things",0.25,"clouds",0.5,"circles",0.75,"squares",0.3,213,221,112,"green",112122,"False",3,2,1,20,5,10,0.32258,0.48387,0.19355,0.625,0.16667,0.20833,NA,NA,NA,0.29524,0.70476,NA,0.70476,0.29524,NA,0.14762,0.14762,0.70476,0.28345,0.71655,NA,0.71655,0.28345,NA,0.16434,0.16434,0.67132,112122
"664",709,47,764,9,"English","solid things",0.75,"striped things",0.35,"polka-dotted things",0.3,"blue things",0.25,"red things",0.75,"green things",0.2,112,133,233,"cloud",211212,"True",1,2,3,10,25,26,NA,NA,NA,0.53571,0.25,0.21429,0.20833,0.625,0.16667,0.69868,0.30132,NA,0.69868,NA,0.30132,NA,0.69868,0.30132,0.70961,0.29039,NA,0.70961,NA,0.29039,NA,0.70961,0.29039,211212
"665",710,47,1650,10,"English","solid things",0.25,"striped things",0.25,"polka-dotted things",0.8,"blue things",0.15,"red things",0.2,"green things",0.8,133,112,211,"cloud",211112,"True",1,2,3,25,10,2,NA,NA,NA,0.19231,0.19231,0.61538,0.13043,0.17391,0.69565,0.69962,0.30038,NA,0.30038,NA,0.69962,0.15019,0.15019,0.69962,0.71099,0.28901,NA,0.28901,NA,0.71099,0.17437,0.17437,0.65125,211211
"666",711,47,779,11,"English","solid things",0.4,"striped things",0.35,"polka-dotted things",0.8,"blue things",0.3,"red things",0.8,"green things",0.3,332,321,221,"square",211212,"True",1,2,3,18,6,5,NA,NA,NA,0.25806,0.22581,0.51613,0.21429,0.57143,0.21429,NA,0.30132,0.69868,NA,0.30132,0.69868,0.30132,0.69868,NA,NA,0.29039,0.70961,NA,0.29039,0.70961,0.29039,0.70961,NA,211212
"667",712,47,419,12,"English","blue things",0.3,"red things",0.3,"green things",0.8,"solid things",0.3,"striped things",0.85,"polka-dotted things",0.2,123,132,112,"cloud",321112,"True",1,3,2,22,16,10,NA,NA,NA,0.22222,0.62963,0.14815,0.21429,0.21429,0.57143,1,NA,NA,0.14754,0.70493,0.14754,NA,0.29507,0.70493,1,NA,NA,0.17021,0.65958,0.17021,NA,0.28441,0.71559,321211
"668",713,47,715,13,"English","blue things",0.3,"red things",0.9,"green things",0.2,"solid things",0.95,"striped things",0.25,"polka-dotted things",0.2,312,322,113,"square",212122,"True",1,3,2,12,15,19,NA,NA,NA,0.67857,0.17857,0.14286,0.21429,0.64286,0.14286,0.30482,NA,0.69518,0.69518,0.30482,NA,NA,0.69518,0.30482,0.29641,NA,0.70359,0.70359,0.29641,NA,NA,0.70359,0.29641,212122
"669",714,47,287,14,"English","blue things",0.75,"red things",0.1,"green things",0.2,"clouds",0.8,"circles",0.2,"squares",0.15,123,221,113,"striped",212222,"True",2,3,1,22,5,19,0.69565,0.17391,0.13043,NA,NA,NA,0.71429,0.09524,0.19048,0.72123,0.27877,NA,0.27877,0.72123,NA,0.27877,NA,0.72123,0.73885,0.26115,NA,0.26115,0.73885,NA,0.26115,NA,0.73885,212222
"670",715,47,1164,15,"English","solid things",0.25,"striped things",0.8,"polka-dotted things",0.25,"blue things",0.2,"red things",0.3,"green things",0.85,223,222,123,"circle",212232,"True",1,2,3,23,14,22,NA,NA,NA,0.19231,0.61538,0.19231,0.14815,0.22222,0.62963,0.29751,0.70249,NA,NA,1,NA,NA,0.29751,0.70249,0.28712,0.71288,NA,NA,1,NA,NA,0.28712,0.71288,213222
"671",716,47,1986,16,"English","clouds",0.75,"circles",0.6,"squares",0.15,"blue things",0.15,"red things",0.95,"green things",0.15,132,132,132,"polka-dotted",323232,"False",2,1,3,16,16,16,0.5,0.4,0.1,NA,NA,NA,0.12,0.76,0.12,1,NA,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,1,NA,1,NA,323232
"672",717,47,659,17,"English","blue things",0.3,"red things",0.3,"green things",0.8,"clouds",0.8,"circles",0.25,"squares",0.25,113,211,333,"solid",212211,"True",2,3,1,19,2,27,0.61538,0.19231,0.19231,NA,NA,NA,0.21429,0.21429,0.57143,0.70679,0.1466,0.1466,0.70679,NA,0.29321,0.29321,NA,0.70679,0.68251,0.15874,0.15874,0.71353,NA,0.28647,0.28647,NA,0.71353,212211
"673",718,47,515,18,"English","solid things",0.8,"striped things",0.15,"polka-dotted things",0.15,"clouds",0.1,"circles",0.2,"squares",0.85,311,312,333,"blue",112132,"False",3,2,1,3,12,27,0.08696,0.17391,0.73913,0.72727,0.13636,0.13636,NA,NA,NA,NA,NA,1,0.6982,NA,0.3018,0.6982,0.1509,0.1509,NA,NA,1,0.70716,NA,0.29284,0.67132,0.16434,0.16434,113221
"674",719,47,1606,19,"English","clouds",0.8,"circles",0.15,"squares",0.15,"blue things",0.65,"red things",0.25,"green things",0.15,131,332,222,"polka-dotted",211112,"True",2,1,3,7,18,14,0.72727,0.13636,0.13636,NA,NA,NA,0.61905,0.2381,0.14286,0.69962,0.15019,0.15019,NA,0.30038,0.69962,0.69962,0.30038,NA,0.65125,0.17437,0.17437,NA,0.28901,0.71099,0.71099,0.28901,NA,211211
"675",720,47,807,20,"English","solid things",0.35,"striped things",0.7,"polka-dotted things",0.2,"blue things",0.25,"red things",0.25,"green things",0.75,223,322,111,"circle",112111,"False",1,2,3,23,15,1,NA,NA,NA,0.28,0.56,0.16,0.2,0.2,0.6,0.14495,0.7101,0.14495,0.2899,0.7101,NA,0.14495,0.14495,0.7101,0.15721,0.68559,0.15721,0.2831,0.7169,NA,0.15721,0.15721,0.68559,112111
"676",721,48,842,6,"english","blue things",0.5,"red things",0.5,"green things",0.5,"solid things",0.5,"striped things",1,"polka-dotted things",0.5,222,332,113,"circle",112111,"False",1,3,2,14,18,19,NA,NA,NA,0.25,0.5,0.25,0.33333,0.33333,0.33333,0.11464,0.77072,0.11464,0.11464,0.77072,0.11464,NA,0.77072,0.22928,0.10489,0.79022,0.10489,0.10489,0.79022,0.10489,NA,0.75421,0.24579,112111
"677",722,48,562,7,"english","clouds",0,"circles",0.9,"squares",0,"blue things",0,"red things",0,"green things",1,223,123,113,"striped",213212,"True",2,1,3,23,22,19,0,1,0,NA,NA,NA,0,0,1,0.26012,0.73988,NA,0.26012,0.73988,NA,NA,NA,1,0.28425,0.71575,NA,0.28425,0.71575,NA,NA,NA,1,213212
"678",723,48,1245,8,"english","blue things",0.5,"red things",0.5,"green things",0.5,"clouds",0.5,"circles",0.5,"squares",0.5,123,333,311,"striped",112112,"False",2,3,1,22,27,3,0.33333,0.33333,0.33333,NA,NA,NA,0.33333,0.33333,0.33333,0.77072,NA,0.22928,0.11464,0.77072,0.11464,0.22928,NA,0.77072,0.7754,NA,0.2246,0.11698,0.76603,0.11698,0.2246,NA,0.7754,112112
"679",724,48,157,9,"english","blue things",0,"red things",0,"green things",1,"clouds",0.5,"circles",0.5,"squares",0.5,213,212,212,"solid",323212,"True",2,3,1,20,11,11,0.33333,0.33333,0.33333,NA,NA,NA,0,0,1,NA,1,NA,1,NA,NA,NA,0.26012,0.73988,NA,1,NA,1,NA,NA,NA,0.28425,0.71575,323212
"680",725,48,12,10,"english","clouds",0.5,"circles",0.5,"squares",0.5,"blue things",0.5,"red things",0.5,"green things",0.5,231,223,323,"polka-dotted",122112,"False",2,1,3,8,23,24,0.33333,0.33333,0.33333,NA,NA,NA,0.33333,0.33333,0.33333,NA,0.77072,0.22928,NA,0.22928,0.77072,0.77072,NA,0.22928,NA,0.7754,0.2246,NA,0.2246,0.7754,0.7754,NA,0.2246,122112
"681",726,48,2238,11,"english","solid things",0,"striped things",1,"polka-dotted things",0,"clouds",0.5,"circles",0.5,"squares",0.5,221,231,211,"blue",323211,"True",3,2,1,5,8,2,0.33333,0.33333,0.33333,0,1,0,NA,NA,NA,NA,1,NA,0.13448,0.73105,0.13448,1,NA,NA,NA,1,NA,0.138,0.724,0.138,1,NA,NA,323211
"682",727,48,2230,12,"english","blue things",0.05,"red things",1,"green things",0,"solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,322,323,321,"square",323211,"True",1,3,2,15,24,6,NA,NA,NA,0.33333,0.33333,0.33333,0.04762,0.95238,0,NA,NA,1,NA,1,NA,0.13448,0.73105,0.13448,NA,NA,1,NA,1,NA,0.138,0.724,0.138,323211
"683",728,48,1931,13,"english","clouds",0.5,"circles",0.5,"squares",0.5,"blue things",0.5,"red things",0.5,"green things",0.5,323,231,211,"striped",111212,"False",2,1,3,24,8,2,0.33333,0.33333,0.33333,NA,NA,NA,0.33333,0.33333,0.33333,NA,0.22928,0.77072,0.11464,0.77072,0.11464,0.22928,NA,0.77072,NA,0.2246,0.7754,0.11698,0.76603,0.11698,0.2246,NA,0.7754,111212
"684",729,48,1269,14,"english","solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,"blue things",0.5,"red things",0.5,"green things",0.5,322,131,213,"square",111111,"False",1,2,3,15,7,20,NA,NA,NA,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.1077,0.1077,0.78459,0.1077,0.78459,0.1077,0.1077,0.78459,0.1077,0.07371,0.07371,0.85257,0.07371,0.85257,0.07371,0.07371,0.85257,0.07371,111111
"685",730,48,408,15,"english","blue things",1,"red things",0,"green things",0.05,"solid things",0.05,"striped things",0.95,"polka-dotted things",0,321,332,312,"square",321112,"True",1,3,2,6,18,12,NA,NA,NA,0.05,0.95,0,0.95238,0,0.04762,NA,NA,1,0.13443,0.73115,0.13443,0.73115,0.26885,NA,NA,NA,1,0.12534,0.74931,0.12534,0.71575,0.28425,NA,321211
"686",731,48,500,16,"english","blue things",0.9,"red things",0.5,"green things",0,"solid things",0,"striped things",1,"polka-dotted things",0.5,321,313,232,"square",211111,"True",1,3,2,6,21,17,NA,NA,NA,0,0.66667,0.33333,0.64286,0.35714,0,NA,0.25988,0.74012,0.12994,0.74012,0.12994,0.74012,0.12994,0.12994,NA,0.26395,0.73605,0.12637,0.74727,0.12637,0.74727,0.12637,0.12637,211111
"687",732,48,1447,17,"english","blue things",0.05,"red things",1,"green things",0.05,"solid things",0.95,"striped things",0.05,"polka-dotted things",0.05,312,313,321,"square",322111,"True",1,3,2,12,21,6,NA,NA,NA,0.90476,0.04762,0.04762,0.04545,0.90909,0.04545,NA,NA,1,0.73491,0.26509,NA,0.13254,0.73491,0.13254,NA,NA,1,0.7196,0.2804,NA,0.12349,0.75303,0.12349,322111
"688",733,48,490,18,"english","blue things",0,"red things",0.95,"green things",0,"solid things",0,"striped things",0.95,"polka-dotted things",0.1,222,233,111,"circle",211111,"True",1,3,2,14,26,1,NA,NA,NA,0,0.90476,0.09524,0,1,0,0.25988,0.74012,NA,0.12994,0.74012,0.12994,0.12994,0.74012,0.12994,0.26395,0.73605,NA,0.12637,0.74727,0.12637,0.12637,0.74727,0.12637,211111
"689",734,48,664,19,"english","solid things",1,"striped things",0.05,"polka-dotted things",0.05,"blue things",0.9,"red things",0,"green things",0,211,223,112,"circle",212211,"True",1,2,3,2,23,10,NA,NA,NA,0.90909,0.04545,0.04545,1,0,0,0.26895,0.73105,NA,0.73105,0.26895,NA,0.73105,0.13448,0.13448,0.28059,0.71941,NA,0.71941,0.28059,NA,0.74476,0.12762,0.12762,212211
"690",735,48,1566,20,"english","clouds",0.05,"circles",0.95,"squares",0,"blue things",0.05,"red things",0.05,"green things",1,213,213,112,"solid",322121,"True",2,1,3,20,20,10,0.05,0.95,0,NA,NA,NA,0.04545,0.04545,0.90909,0.2669,0.7331,NA,1,NA,NA,NA,0.2669,0.7331,0.2998,0.7002,NA,1,NA,NA,NA,0.2998,0.7002,322121
"691",736,49,1601,6,"English","blue things",0.5,"red things",0.2,"green things",0.7,"clouds",0.75,"circles",0.15,"squares",0.5,113,212,221,"solid",211112,"True",2,3,1,19,11,5,0.53571,0.10714,0.35714,NA,NA,NA,0.35714,0.14286,0.5,0.65615,0.34385,NA,0.65615,0.34385,NA,0.17193,0.17193,0.65615,0.68761,0.31239,NA,0.68761,0.31239,NA,0.23879,0.23879,0.52242,211211
"692",737,49,1473,7,"English","clouds",0.5,"circles",0.5,"squares",0.5,"solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,222,231,211,"red",123211,"False",3,1,2,14,8,2,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,NA,NA,NA,NA,1,NA,0.16411,0.67178,0.16411,0.32822,0.67178,NA,NA,1,NA,0.21796,0.56408,0.21796,0.3043,0.6957,NA,123211
"693",738,49,244,8,"English","solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,"clouds",0.5,"circles",0.5,"squares",0.5,122,122,113,"red",212132,"False",3,2,1,13,13,19,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,NA,NA,NA,1,NA,NA,0.3358,0.6642,NA,NA,0.6642,0.3358,1,NA,NA,0.29279,0.70721,NA,NA,0.70721,0.29279,213221
"694",739,49,320,9,"English","solid things",0.5,"striped things",0.2,"polka-dotted things",0.8,"blue things",0.5,"red things",0.5,"green things",0.5,133,123,313,"cloud",213211,"True",1,2,3,25,22,21,NA,NA,NA,0.33333,0.13333,0.53333,0.33333,0.33333,0.33333,0.66269,NA,0.33731,0.16866,0.16866,0.66269,NA,NA,1,0.6957,NA,0.3043,0.24296,0.24296,0.51408,NA,NA,1,213211
"695",740,49,1212,10,"English","blue things",0.5,"red things",0.5,"green things",0.5,"solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,332,222,121,"square",112112,"False",1,3,2,18,14,4,NA,NA,NA,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.16399,0.16399,0.67202,NA,0.32798,0.67202,0.32798,0.67202,NA,0.24103,0.24103,0.51793,NA,0.27984,0.72016,0.27984,0.72016,NA,112112
"696",741,49,790,11,"English","blue things",0.5,"red things",0.25,"green things",0.8,"solid things",0.5,"striped things",0.75,"polka-dotted things",0.25,223,232,332,"circle",211212,"True",1,3,2,23,17,18,NA,NA,NA,0.33333,0.5,0.16667,0.32258,0.16129,0.51613,NA,0.64765,0.35235,NA,0.64765,0.35235,NA,0.35235,0.64765,NA,0.68817,0.31183,NA,0.68817,0.31183,NA,0.31183,0.68817,211212
"697",742,49,1108,12,"English","clouds",0.5,"circles",0.25,"squares",0.8,"blue things",0.5,"red things",0.85,"green things",0.2,312,213,213,"solid",321212,"True",2,1,3,12,20,20,0.32258,0.16129,0.51613,NA,NA,NA,0.32258,0.54839,0.12903,NA,0.35519,0.64481,1,NA,NA,NA,0.64481,0.35519,NA,0.31555,0.68445,1,NA,NA,NA,0.68445,0.31555,321212
"698",743,49,187,13,"English","clouds",0.15,"circles",0.5,"squares",0.9,"blue things",0.5,"red things",0.5,"green things",0.5,313,113,113,"solid",323212,"True",2,1,3,21,19,19,0.09677,0.32258,0.58065,NA,NA,NA,0.33333,0.33333,0.33333,0.35203,NA,0.64797,1,NA,NA,NA,NA,1,0.31379,NA,0.68621,1,NA,NA,NA,NA,1,323212
"699",744,49,1071,14,"English","clouds",0.5,"circles",0.5,"squares",0.5,"blue things",0.5,"red things",0.5,"green things",0.5,231,311,321,"polka-dotted",113212,"False",2,1,3,8,3,6,0.33333,0.33333,0.33333,NA,NA,NA,0.33333,0.33333,0.33333,NA,0.6642,0.3358,0.1679,0.1679,0.6642,1,NA,NA,NA,0.70721,0.29279,0.24103,0.24103,0.51793,1,NA,NA,113212
"700",745,49,582,15,"English","clouds",0.8,"circles",0.15,"squares",0.5,"solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,132,232,233,"red",213212,"True",3,1,2,16,17,26,0.55172,0.10345,0.34483,0.33333,0.33333,0.33333,NA,NA,NA,0.64865,0.35135,NA,NA,NA,1,NA,0.64865,0.35135,0.68709,0.31291,NA,NA,NA,1,NA,0.68709,0.31291,213212
"701",746,49,1188,16,"English","solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,"clouds",0.5,"circles",0.75,"squares",0.2,213,313,212,"green",212232,"True",3,2,1,20,21,11,0.34483,0.51724,0.13793,0.33333,0.33333,0.33333,NA,NA,NA,NA,0.65105,0.34895,1,NA,NA,NA,0.34895,0.65105,NA,0.69019,0.30981,1,NA,NA,NA,0.30981,0.69019,213222
"702",747,49,1909,17,"English","solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,"blue things",0.5,"red things",0.5,"green things",0.5,323,112,212,"square",111212,"False",1,2,3,24,10,11,NA,NA,NA,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.16399,0.16399,0.67202,0.32798,0.67202,NA,NA,0.32798,0.67202,0.24103,0.24103,0.51793,0.27984,0.72016,NA,NA,0.27984,0.72016,111212
"703",748,49,1419,18,"English","solid things",0.85,"striped things",0.15,"polka-dotted things",0.15,"clouds",0.2,"circles",0.5,"squares",0.7,313,323,133,"green",322111,"True",3,2,1,21,24,25,0.14286,0.35714,0.5,0.73913,0.13043,0.13043,NA,NA,NA,0.35259,NA,0.64741,0.64741,0.1763,0.1763,NA,NA,1,0.30913,NA,0.69087,0.46263,0.26868,0.26868,NA,NA,1,322111
"704",749,49,685,19,"English","clouds",0.2,"circles",0.5,"squares",0.75,"blue things",0.5,"red things",0.75,"green things",0.3,312,113,331,"solid",212211,"True",2,1,3,12,19,9,0.13793,0.34483,0.51724,NA,NA,NA,0.32258,0.48387,0.19355,0.34099,NA,0.65901,0.65901,NA,0.34099,0.1705,0.65901,0.1705,0.30981,NA,0.69019,0.69019,NA,0.30981,0.23678,0.52645,0.23678,212211
"705",750,49,1044,20,"English","clouds",0.25,"circles",0.75,"squares",0.5,"blue things",0.8,"red things",0.5,"green things",0.2,221,123,233,"striped",212212,"True",2,1,3,5,22,26,0.16667,0.5,0.33333,NA,NA,NA,0.53333,0.33333,0.13333,0.35417,0.64583,NA,NA,0.64583,0.35417,0.64583,NA,0.35417,0.31421,0.68579,NA,NA,0.68579,0.31421,0.68579,NA,0.31421,212212
"706",766,51,1391,6,"English","blue things",0.2,"red things",0,"green things",0.8,"clouds",0.5,"circles",0.2,"squares",0.15,123,112,131,"striped",113211,"False",2,3,1,22,10,7,0.58824,0.23529,0.17647,NA,NA,NA,0.2,0,0.8,1,NA,NA,0.14074,0.71851,0.14074,0.14074,0.14074,0.71851,1,NA,NA,0.18685,0.6263,0.18685,0.18685,0.18685,0.6263,113211
"707",767,51,214,7,"English","solid things",0.2,"striped things",0.2,"polka-dotted things",0.75,"blue things",0.2,"red things",0.1,"green things",0.5,133,133,232,"cloud",212132,"False",1,2,3,25,25,17,NA,NA,NA,0.17391,0.17391,0.65217,0.25,0.125,0.625,0.71718,0.28282,NA,NA,NA,1,NA,0.28282,0.71718,0.77619,0.22381,NA,NA,NA,1,NA,0.22381,0.77619,213221
"708",768,51,1408,8,"English","solid things",0.2,"striped things",0.65,"polka-dotted things",0.25,"clouds",0.25,"circles",0.7,"squares",0.25,221,121,311,"blue",322111,"True",3,2,1,5,4,3,0.20833,0.58333,0.20833,0.18182,0.59091,0.22727,NA,NA,NA,0.13718,0.72564,0.13718,0.27436,0.72564,NA,1,NA,NA,0.17602,0.64796,0.17602,0.21891,0.78109,NA,1,NA,NA,322111
"709",769,51,1643,9,"English","clouds",0.2,"circles",0.7,"squares",0.25,"blue things",0.1,"red things",0.7,"green things",0,222,323,133,"striped",211112,"True",2,1,3,14,24,25,0.17391,0.6087,0.21739,NA,NA,NA,0.125,0.875,0,0.14262,0.71476,0.14262,NA,0.71476,0.28524,NA,0.71476,0.28524,0.17729,0.64543,0.17729,NA,0.76428,0.23572,NA,0.76428,0.23572,211211
"710",770,51,842,10,"English","solid things",0.2,"striped things",0.85,"polka-dotted things",0.2,"blue things",0.15,"red things",0.5,"green things",0.2,222,332,113,"circle",112111,"False",1,2,3,14,18,19,NA,NA,NA,0.16,0.68,0.16,0.17647,0.58824,0.23529,0.13815,0.7237,0.13815,0.13815,0.7237,0.13815,NA,0.7237,0.2763,0.18085,0.6383,0.18085,0.18085,0.6383,0.18085,NA,0.78469,0.21531,112111
"711",771,51,450,11,"English","solid things",0.85,"striped things",0.25,"polka-dotted things",0.25,"blue things",0.85,"red things",0.2,"green things",0.05,211,233,223,"circle",321112,"True",1,2,3,2,26,23,NA,NA,NA,0.62963,0.18519,0.18519,0.77273,0.18182,0.04545,NA,1,NA,0.7162,0.1419,0.1419,0.7162,NA,0.2838,NA,1,NA,0.64333,0.17833,0.17833,0.76825,NA,0.23175,321211
"712",772,51,1282,12,"English","clouds",0.35,"circles",0.2,"squares",0.75,"blue things",0.15,"red things",0.85,"green things",0.15,332,221,113,"polka-dotted",111111,"False",2,1,3,18,5,19,0.26923,0.15385,0.57692,NA,NA,NA,0.13043,0.73913,0.13043,0.12933,0.12933,0.74135,0.12933,0.12933,0.74135,0.12933,0.74135,0.12933,0.17072,0.17072,0.65857,0.17072,0.17072,0.65857,0.17072,0.65857,0.17072,111111
"713",773,51,1751,13,"English","solid things",0.2,"striped things",0.15,"polka-dotted things",0.15,"blue things",0.15,"red things",0.15,"green things",0.5,123,123,121,"cloud",322132,"True",1,2,3,22,22,4,NA,NA,NA,0.4,0.3,0.3,0.1875,0.1875,0.625,1,NA,NA,NA,1,NA,0.28026,NA,0.71974,1,NA,NA,NA,1,NA,0.21924,NA,0.78076,323221
"714",774,51,137,14,"English","solid things",0.2,"striped things",0.85,"polka-dotted things",0.15,"blue things",0.1,"red things",0.65,"green things",0.1,122,132,211,"cloud",212111,"True",1,2,3,13,16,2,NA,NA,NA,0.16667,0.70833,0.125,0.11765,0.76471,0.11765,0.71616,0.28384,NA,0.14192,0.71616,0.14192,0.28384,0.71616,NA,0.7738,0.2262,NA,0.18227,0.63546,0.18227,0.2262,0.7738,NA,212111
"715",775,51,253,15,"English","solid things",0.15,"striped things",0.15,"polka-dotted things",0.2,"blue things",0.25,"red things",0.75,"green things",0.2,332,313,132,"square",212222,"True",1,2,3,18,21,16,NA,NA,NA,0.3,0.3,0.4,0.20833,0.625,0.16667,0.28216,NA,0.71784,0.28216,NA,0.71784,NA,0.71784,0.28216,0.20641,NA,0.79359,0.20641,NA,0.79359,NA,0.79359,0.20641,212222
"716",776,51,1564,16,"English","blue things",0.7,"red things",0.2,"green things",0.25,"solid things",0.25,"striped things",0.25,"polka-dotted things",0.25,131,131,123,"cloud",322121,"True",1,3,2,7,7,22,NA,NA,NA,0.33333,0.33333,0.33333,0.6087,0.17391,0.21739,1,NA,NA,NA,0.26974,0.73026,0.73026,NA,0.26974,1,NA,NA,NA,0.19515,0.80485,0.80485,NA,0.19515,322121
"717",777,51,283,17,"English","blue things",0.15,"red things",0.15,"green things",0.6,"solid things",0.2,"striped things",0.2,"polka-dotted things",0.85,233,211,333,"circle",212222,"True",1,3,2,26,2,27,NA,NA,NA,0.16,0.16,0.68,0.16667,0.16667,0.66667,NA,0.71784,0.28216,0.28216,NA,0.71784,0.28216,NA,0.71784,NA,0.79359,0.20641,0.20641,NA,0.79359,0.20641,NA,0.79359,212222
"718",778,51,2227,18,"English","clouds",0.25,"circles",0.75,"squares",0.25,"solid things",0.15,"striped things",0.15,"polka-dotted things",0.5,231,131,331,"blue",323211,"True",3,1,2,8,7,9,0.2,0.6,0.2,0.1875,0.1875,0.625,NA,NA,NA,0.13675,0.7265,0.13675,NA,NA,1,1,NA,NA,0.17685,0.6463,0.17685,NA,NA,1,1,NA,NA,323211
"719",779,51,771,19,"English","blue things",0.2,"red things",0.8,"green things",0.2,"solid things",0.2,"striped things",0.8,"polka-dotted things",0.2,122,111,311,"cloud",211212,"True",1,3,2,13,1,3,NA,NA,NA,0.16667,0.66667,0.16667,0.16667,0.66667,0.16667,0.71512,NA,0.28488,0.28488,0.71512,NA,0.28488,0.71512,NA,0.77692,NA,0.22308,0.22308,0.77692,NA,0.22308,0.77692,NA,211212
"720",780,51,1265,20,"English","solid things",0.3,"striped things",0.75,"polka-dotted things",0.25,"clouds",0.3,"circles",0.25,"squares",0.7,321,112,233,"blue",111111,"False",3,2,1,6,10,26,0.24,0.2,0.56,0.23077,0.57692,0.19231,NA,NA,NA,0.12933,0.12933,0.74135,0.12933,0.74135,0.12933,0.74135,0.12933,0.12933,0.17072,0.17072,0.65857,0.17072,0.65857,0.17072,0.65857,0.17072,0.17072,111111
